movieId,title,genres
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,Jumanji (1995),Adventure|Children|Fantasy
2,Grumpier Old Men (1995),Comedy|Romance
3,Waiting to Exhale (1995),Comedy|Drama|Romance
4,Father of the Bride Part II (1995),Comedy
5,Heat (1995),Action|Crime|Thriller
6,Sabrina (1995),Comedy|Romance
7,Tom and Huck (1995),Adventure|Children
8,Sudden Death (1995),Action
9,GoldenEye (1995),Action|Adventure|Thriller
10,"American President, The (1995)",Comedy|Drama|Romance
11,Dracula: Dead and Loving It (1995),Comedy|Horror
12,Balto (1995),Adventure|Animation|Children
13,Nixon (1995),Drama
14,Cutthroat Island (1995),Action|Adventure|Romance
15,Casino (1995),Crime|Drama
16,Sense and Sensibility (1995),Drama|Romance
17,Four Rooms (1995),Comedy
18,Ace Ventura: When Nature Calls (1995),Comedy
19,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
20,Get Shorty (1995),Comedy|Crime|Thriller
21,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
22,Assassins (1995),Action|Crime|Thriller
23,Powder (1995),Drama|Sci-Fi
24,Leaving Las Vegas (1995),Drama|Romance
25,Othello (1995),Drama
26,Now and Then (1995),Children|Drama
27,Persuasion (1995),Drama|Romance
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
30,Dangerous Minds (1995),Drama
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,Babe (1995),Children|Drama
33,Carrington (1995),Drama|Romance
34,Dead Man Walking (1995),Crime|Drama
35,Across the Sea of Time (1995),Documentary|IMAX
36,It Takes Two (1995),Children|Comedy
37,Clueless (1995),Comedy|Romance
38,"Cry, the Beloved Country (1995)",Drama
39,Richard III (1995),Drama|War
40,Dead Presidents (1995),Action|Crime|Drama
41,Restoration (1995),Drama
42,Mortal Kombat (1995),Action|Adventure|Fantasy
43,To Die For (1995),Comedy|Drama|Thriller
44,How to Make an American Quilt (1995),Drama|Romance
45,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
46,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
47,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
48,Mighty Aphrodite (1995),Comedy|Drama|Romance
49,"Big Green, The (1995)",Children|Comedy
50,Georgia (1995),Drama
51,Home for the Holidays (1995),Drama
52,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
53,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
54,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
55,Eye for an Eye (1996),Drama|Thriller
56,Mr. Holland's Opus (1995),Drama
57,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
58,Two if by Sea (1996),Comedy|Romance
59,Bio-Dome (1996),Comedy
60,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
61,Two Bits (1995),Drama
62,French Twist (Gazon maudit) (1995),Comedy|Romance
63,Friday (1995),Comedy
64,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
65,Fair Game (1995),Action
66,Kicking and Screaming (1995),Comedy|Drama
67,"Misérables, Les (1995)",Drama|War
68,Bed of Roses (1996),Drama|Romance
69,Big Bully (1996),Comedy|Drama
70,Screamers (1995),Action|Sci-Fi|Thriller
71,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
72,"Juror, The (1996)",Drama|Thriller
73,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
74,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
75,Antonia's Line (Antonia) (1995),Comedy|Drama
76,Once Upon a Time... When We Were Colored (1995),Drama|Romance
77,Angels and Insects (1995),Drama|Romance
78,White Squall (1996),Action|Adventure|Drama
79,Dunston Checks In (1996),Children|Comedy
80,Black Sheep (1996),Comedy
81,Nick of Time (1995),Action|Thriller
82,Mary Reilly (1996),Drama|Horror|Thriller
83,Vampire in Brooklyn (1995),Comedy|Horror|Romance
84,Beautiful Girls (1996),Comedy|Drama|Romance
85,Broken Arrow (1996),Action|Adventure|Thriller
86,In the Bleak Midwinter (1995),Comedy|Drama
87,"Hate (Haine, La) (1995)",Crime|Drama
88,Heidi Fleiss: Hollywood Madam (1995),Documentary
89,City Hall (1996),Drama|Thriller
90,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
91,Mr. Wrong (1996),Comedy
92,Unforgettable (1996),Mystery|Sci-Fi|Thriller
93,Happy Gilmore (1996),Comedy
94,"Bridges of Madison County, The (1995)",Drama|Romance
95,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
96,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
97,Braveheart (1995),Action|Drama|War
98,Taxi Driver (1976),Crime|Drama|Thriller
99,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
100,Before and After (1996),Drama|Mystery
101,Margaret's Museum (1995),Drama
102,Anne Frank Remembered (1995),Documentary
103,"Young Poisoner's Handbook, The (1995)",Crime|Drama
104,If Lucy Fell (1996),Comedy|Romance
105,"Steal Big, Steal Little (1995)",Comedy
106,Race the Sun (1996),Adventure|Comedy|Drama
107,"Boys of St. Vincent, The (1992)",Drama
108,Boomerang (1992),Comedy|Romance
109,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
110,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
111,Flirting With Disaster (1996),Comedy
112,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
113,Jupiter's Wife (1994),Documentary
114,Pie in the Sky (1996),Comedy|Romance
115,Angela (1995),Drama
116,Jade (1995),Thriller
117,Down Periscope (1996),Comedy
118,From the Journals of Jean Seberg (1995),Documentary
119,"Neon Bible, The (1995)",Drama
120,Up Close and Personal (1996),Drama|Romance
121,"Birdcage, The (1996)",Comedy
122,"Brothers McMullen, The (1995)",Comedy
123,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
124,"Basketball Diaries, The (1995)",Drama
125,"Awfully Big Adventure, An (1995)",Drama
126,Amateur (1994),Crime|Drama|Thriller
127,Apollo 13 (1995),Adventure|Drama|IMAX
128,Rob Roy (1995),Action|Drama|Romance|War
129,"Addiction, The (1995)",Drama|Horror
130,Batman Forever (1995),Action|Adventure|Comedy|Crime
131,Beauty of the Day (Belle de jour) (1967),Drama
132,Beyond Rangoon (1995),Adventure|Drama|War
133,Blue in the Face (1995),Comedy|Drama
134,Canadian Bacon (1995),Comedy|War
135,Casper (1995),Adventure|Children
136,Clockers (1995),Crime|Drama|Mystery
137,Congo (1995),Action|Adventure|Mystery|Sci-Fi
138,Crimson Tide (1995),Drama|Thriller|War
139,Crumb (1994),Documentary
140,Desperado (1995),Action|Romance|Western
141,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
142,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
143,"Doom Generation, The (1995)",Comedy|Crime|Drama
144,Feast of July (1995),Drama
145,First Knight (1995),Action|Drama|Romance
146,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
